,France,Italy,Spain,England,Canada,USA,Korea,Switzerland,Mexico
1973,,,,,,0.139391303,,,
1978,,,,,,0.152473837,,,
1987,,,0.097010501,,,,,,
1990,0.061935902,,,,,,,,
1991,0.060563575,,,0.142448828,,0.217073932,,,
1992,0.06736207,,,0.144403532,,,,0.051901896,
1993,0.065840274,,0.091355607,0.145675957,,,,,
1994,0.070693262,,,0.15139541,0.131213799,,,,
1995,0.069704272,,0.112639286,0.160237774,,,,,
1996,0.087678328,,,0.168846011,,,,,
1997,0.076058298,,0.117235407,0.177427024,,,,0.065171532,
1998,0.08298713,,,0.184809953,,,0.02236921,,
1999,,,,0.190544009,,0.303312182,,,
2000,0.088961348,,,0.200355679,,,,,0.251684189
2001,,0.074119493,0.120934457,0.2150103,0.146628618,0.293637276,0.031484105,,
2002,0.090684474,0.073919617,,0.216129914,,,,0.073179387,
2003,,0.077536248,0.126016036,0.218312576,0.155029833,0.313198924,,,
2004,0.09657298,,,0.223148346,,,,,
2005,,0.085544705,,0.225475237,0.155195326,0.332957864,0.034420416,,
2006,0.106389254,0.087270893,0.143862769,0.232938036,,,,,0.292853743
2007,,0.084039107,,0.231253982,0.164629459,0.324880451,,0.077119432,
2008,0.108085074,0.08249779,,0.23642695,,,0.038227685,,
2009,,0.085914642,,0.219814748,0.177570686,0.348602951,,,
2010,0.112438664,0.086107999,,0.251447827,,,,,
2011,,0.08301086,0.150292531,0.233776137,0.175663397,0.34187153,,,
2012,0.132596225,0.085837789,,0.239368528,,,,0.08212427,0.312678903
2013,,0.105924226,,0.23914507,0.187238663,0.370598763,,,
2014,,0.107845917,0.145114467,0.244356453,,,0.044729427,,
2020,0.16408278,0.114715308,0.182480812,0.300033122,0.251102924,0.405890375,0.060581729,0.118378535,0.360057414
2025,0.180538088,0.120845102,0.19654204,0.323746324,0.273094565,0.437712371,0.074387491,0.136308298,0.376372039
2030,0.194866449,0.13261126,0.211683065,0.349590629,0.291069299,0.466284782,0.086836837,0.149912819,0.391594648
